Molecule ID,Ligand drift pose count
,
CHEMBL1017,13
CHEMBL107367,16
CHEMBL1075723,8
CHEMBL1075724,7
CHEMBL1075894,13
CHEMBL1075895,15
CHEMBL1079669,11
CHEMBL1080140,11
CHEMBL1080365,11
CHEMBL1080699,11
CHEMBL1081003,8
CHEMBL1081950,6
CHEMBL1089120,1
CHEMBL1089859,4
CHEMBL1090550,0
CHEMBL1090870,4
CHEMBL1092559,0
CHEMBL1092634,0
CHEMBL1092855,0
CHEMBL110371,11
CHEMBL113301,5
CHEMBL1160899,0
CHEMBL116671,0
CHEMBL1169712,8
CHEMBL1170264,9
CHEMBL1170852,13
CHEMBL1170853,3
CHEMBL1171046,3
CHEMBL1172000,13
CHEMBL1172426,20
CHEMBL1172962,2
CHEMBL1172963,1
CHEMBL1173118,3
CHEMBL1209109,0
CHEMBL1209170,5
CHEMBL1209173,1
CHEMBL121,11
CHEMBL1231797,0
CHEMBL1236924,9
CHEMBL144112,18
CHEMBL144489,3
CHEMBL147721,8
CHEMBL148319,20
CHEMBL1641708,9
CHEMBL1641710,10
CHEMBL1641713,8
CHEMBL1641718,4
CHEMBL1644298,8
CHEMBL1644303,8
CHEMBL1644308,7
CHEMBL1644309,4
CHEMBL1644314,7
CHEMBL1644315,2
CHEMBL165484,0
CHEMBL166408,0
CHEMBL166539,9
CHEMBL166572,19
CHEMBL166628,0
CHEMBL166637,1
CHEMBL167043,8
CHEMBL167352,0
CHEMBL167378,2
CHEMBL167430,2
CHEMBL167963,0
CHEMBL168166,0
CHEMBL1729254,3
CHEMBL178236,5
CHEMBL178245,2
CHEMBL178380,12
CHEMBL1784948,20
CHEMBL1784949,12
CHEMBL1784954,2
CHEMBL179330,5
CHEMBL1801712,0
CHEMBL1801713,9
CHEMBL1801714,5
CHEMBL1801734,1
CHEMBL1801735,2
CHEMBL1801736,0
CHEMBL1801737,1
CHEMBL1801738,2
CHEMBL1801739,2
CHEMBL1801740,1
CHEMBL1801741,0
CHEMBL1801742,9
CHEMBL1801743,2
CHEMBL1801744,12
CHEMBL180430,0
CHEMBL180633,3
CHEMBL180954,16
CHEMBL181219,15
CHEMBL1813003,16
CHEMBL1813004,14
CHEMBL1813006,17
CHEMBL1813007,17
CHEMBL1813008,10
CHEMBL1813010,14
CHEMBL1813011,12
CHEMBL181554,4
CHEMBL1817687,1
CHEMBL181937,12
CHEMBL1819391,4
CHEMBL1819394,6
CHEMBL1819396,12
CHEMBL1819397,8
CHEMBL1819483,6
CHEMBL182583,4
CHEMBL1828826,4
CHEMBL182941,1
CHEMBL183191,0
CHEMBL183213,0
CHEMBL183667,0
CHEMBL183909,0
CHEMBL186179,10
CHEMBL190368,17
CHEMBL190905,18
CHEMBL191060,18
CHEMBL1933093,5
CHEMBL1935491,6
CHEMBL1935492,0
CHEMBL1935493,1
CHEMBL1935494,0
CHEMBL1935495,2
CHEMBL1935497,2
CHEMBL1935498,1
CHEMBL1935499,10
CHEMBL1935501,12
CHEMBL1935607,1
CHEMBL1935609,5
CHEMBL1935610,4
CHEMBL1935611,3
CHEMBL1935612,2
CHEMBL1935613,6
CHEMBL1935616,4
CHEMBL1935617,3
CHEMBL1935618,4
CHEMBL1935619,3
CHEMBL1935620,3
CHEMBL1944783,4
CHEMBL1945213,15
CHEMBL1945214,0
CHEMBL1945215,0
CHEMBL1945219,14
CHEMBL1945220,9
CHEMBL1945221,15
CHEMBL1946409,9
CHEMBL1946566,0
CHEMBL1946567,10
CHEMBL1946568,9
CHEMBL1946570,7
CHEMBL1946571,8
CHEMBL1946753,9
CHEMBL1946754,3
CHEMBL1946755,8
CHEMBL1946756,15
CHEMBL1946757,10
CHEMBL1946758,8
CHEMBL1946952,6
CHEMBL1946953,3
CHEMBL194698,3
CHEMBL1947140,4
CHEMBL1947142,5
CHEMBL1947143,9
CHEMBL1947145,16
CHEMBL1947146,11
CHEMBL1947147,16
CHEMBL1956358,11
CHEMBL1956359,14
CHEMBL1956360,12
CHEMBL1956361,16
CHEMBL1956365,16
CHEMBL1956366,18
CHEMBL1956369,16
CHEMBL1956370,11
CHEMBL1956371,4
CHEMBL196139,7
CHEMBL196227,18
CHEMBL196260,9
CHEMBL196261,10
CHEMBL1967191,12
CHEMBL197268,8
CHEMBL197684,6
CHEMBL198034,11
CHEMBL198163,2
CHEMBL198170,4
CHEMBL198708,4
CHEMBL199125,16
CHEMBL199172,5
CHEMBL2031859,3
CHEMBL2031954,2
CHEMBL2042802,0
CHEMBL2042803,0
CHEMBL2042804,0
CHEMBL2042808,0
CHEMBL2042809,1
CHEMBL2042810,0
CHEMBL2042811,0
CHEMBL2042812,1
CHEMBL2042813,1
CHEMBL2042814,0
CHEMBL207570,1
CHEMBL210162,0
CHEMBL2103824,7
CHEMBL2104753,4
CHEMBL2113104,4
CHEMBL2113105,6
CHEMBL2113106,15
CHEMBL214719,4
CHEMBL217118,6
CHEMBL217907,18
CHEMBL2180634,18
CHEMBL218117,12
CHEMBL2203301,14
CHEMBL2204683,5
CHEMBL2204686,2
CHEMBL2204687,2
CHEMBL2204688,1
CHEMBL2204689,0
CHEMBL2204690,2
CHEMBL2204691,1
CHEMBL2204692,0
CHEMBL2204693,0
CHEMBL2204694,5
CHEMBL2204695,0
CHEMBL2204696,0
CHEMBL2204697,1
CHEMBL2204698,6
CHEMBL2204699,1
CHEMBL2204701,0
CHEMBL2204702,6
CHEMBL220533,6
CHEMBL220597,14
CHEMBL220622,11
CHEMBL2206303,4
CHEMBL2206304,0
CHEMBL2206305,1
CHEMBL2206306,4
CHEMBL220708,15
CHEMBL221123,15
CHEMBL221184,14
CHEMBL221474,16
CHEMBL221641,13
CHEMBL221649,16
CHEMBL221850,16
CHEMBL222107,11
CHEMBL222117,14
CHEMBL223379,11
CHEMBL2260190,4
CHEMBL2260191,0
CHEMBL2260192,5
CHEMBL2260193,9
CHEMBL2260194,4
CHEMBL2260195,0
CHEMBL2260196,12
CHEMBL2260197,17
CHEMBL2260198,8
CHEMBL2260200,0
CHEMBL2312700,5
CHEMBL2312701,3
CHEMBL2312702,4
CHEMBL2312703,9
CHEMBL2312704,16
CHEMBL2312705,13
CHEMBL2312706,16
CHEMBL2312707,3
CHEMBL2312709,6
CHEMBL2312710,3
CHEMBL2312711,1
CHEMBL2312713,10
CHEMBL2312714,1
CHEMBL2312716,4
CHEMBL2312717,6
CHEMBL2312718,17
CHEMBL2322172,1
CHEMBL2322174,7
CHEMBL2322175,5
CHEMBL2322176,0
CHEMBL2322437,0
CHEMBL2322439,0
CHEMBL2322441,0
CHEMBL2322442,0
CHEMBL2322443,0
CHEMBL2322444,0
CHEMBL2322445,0
CHEMBL2322446,0
CHEMBL2322447,0
CHEMBL2322448,0
CHEMBL2322449,0
CHEMBL2322450,0
CHEMBL2322451,0
CHEMBL232798,15
CHEMBL232799,6
CHEMBL233003,12
CHEMBL2331559,18
CHEMBL2331770,15
CHEMBL2331771,6
CHEMBL2331772,7
CHEMBL2331774,6
CHEMBL2331775,7
CHEMBL2331777,10
CHEMBL2331778,18
CHEMBL2331779,4
CHEMBL2331780,13
CHEMBL2331781,20
CHEMBL2331782,12
CHEMBL2331783,7
CHEMBL2331785,3
CHEMBL2331786,8
CHEMBL2331787,9
CHEMBL233785,14
CHEMBL2338472,3
CHEMBL2338474,3
CHEMBL2338475,14
CHEMBL2338476,5
CHEMBL2338477,14
CHEMBL2338479,13
CHEMBL2338480,8
CHEMBL2338481,14
CHEMBL2338482,10
CHEMBL2338483,2
CHEMBL2338484,3
CHEMBL2338485,8
CHEMBL2338486,18
CHEMBL2338487,19
CHEMBL2338488,9
CHEMBL234819,13
CHEMBL234820,8
CHEMBL234858,12
CHEMBL234859,16
CHEMBL234907,6
CHEMBL234908,7
CHEMBL2377521,12
CHEMBL2377523,14
CHEMBL2377524,14
CHEMBL2377525,13
CHEMBL2377527,9
CHEMBL2377528,14
CHEMBL2377529,13
CHEMBL24038,20
CHEMBL2424946,2
CHEMBL2424947,16
CHEMBL2424948,0
CHEMBL2424949,3
CHEMBL2424950,2
CHEMBL2424951,10
CHEMBL2424952,7
CHEMBL2424953,3
CHEMBL2424954,6
CHEMBL2424955,8
CHEMBL2424956,8
CHEMBL24458,18
CHEMBL245656,6
CHEMBL245674,15
CHEMBL246270,7
CHEMBL246272,5
CHEMBL246473,5
CHEMBL247719,8
CHEMBL247720,12
CHEMBL247925,5
CHEMBL248906,7
CHEMBL25259,9
CHEMBL253952,13
CHEMBL255930,6
CHEMBL282686,0
CHEMBL293499,5
CHEMBL294807,10
CHEMBL295416,3
CHEMBL3115236,7
CHEMBL3115239,11
CHEMBL3115240,16
CHEMBL3115241,14
CHEMBL3115242,17
CHEMBL3115244,10
CHEMBL3115245,18
CHEMBL3115246,0
CHEMBL3115247,5
CHEMBL315048,5
CHEMBL3262946,11
CHEMBL3263231,13
CHEMBL3263232,11
CHEMBL3263233,13
CHEMBL3263236,7
CHEMBL3263237,16
CHEMBL3263244,15
CHEMBL3263245,15
CHEMBL3263246,14
CHEMBL3263247,4
CHEMBL3263249,3
CHEMBL328099,13
CHEMBL328455,9
CHEMBL3318036,6
CHEMBL3318037,10
CHEMBL3318038,14
CHEMBL3318039,12
CHEMBL3318040,5
CHEMBL3318041,3
CHEMBL3335622,11
CHEMBL3335623,10
CHEMBL3335625,3
CHEMBL3335628,19
CHEMBL3335629,2
CHEMBL3335653,8
CHEMBL3335654,9
CHEMBL3335655,9
CHEMBL3335657,9
CHEMBL3335658,15
CHEMBL3335659,2
CHEMBL3335660,3
CHEMBL3335661,13
CHEMBL3335662,9
CHEMBL3335666,20
CHEMBL3335667,19
CHEMBL3348830,15
CHEMBL3355867,3
CHEMBL3355870,7
CHEMBL3355872,16
CHEMBL3358036,9
CHEMBL3393177,1
CHEMBL3393178,10
CHEMBL3393179,12
CHEMBL3393181,0
CHEMBL3393182,8
CHEMBL3393183,15
CHEMBL3393185,6
CHEMBL3393187,7
CHEMBL339359,18
CHEMBL3397548,13
CHEMBL3397549,6
CHEMBL3397550,1
CHEMBL3397554,9
CHEMBL3397555,2
CHEMBL3397556,2
CHEMBL3397557,6
CHEMBL3397558,1
CHEMBL3397559,14
CHEMBL3397560,4
CHEMBL3397561,17
CHEMBL3397562,12
CHEMBL3397563,4
CHEMBL3397710,0
CHEMBL3397717,8
CHEMBL3397718,13
CHEMBL3397726,8
CHEMBL3397727,15
CHEMBL3398425,7
CHEMBL3398427,3
CHEMBL3398429,7
CHEMBL3398431,4
CHEMBL3398432,7
CHEMBL3398435,3
CHEMBL3398438,4
CHEMBL3398439,8
CHEMBL3398440,11
CHEMBL3398443,12
CHEMBL3398444,4
CHEMBL3398455,6
CHEMBL3398456,12
CHEMBL3398457,7
CHEMBL3425533,6
CHEMBL345009,8
CHEMBL3545278,3
CHEMBL3545280,19
CHEMBL355695,6
CHEMBL3585572,14
CHEMBL3585573,0
CHEMBL3585574,11
CHEMBL3585576,14
CHEMBL3585577,10
CHEMBL359476,1
CHEMBL359548,9
CHEMBL3597313,11
CHEMBL3597314,7
CHEMBL3597386,7
CHEMBL3597387,11
CHEMBL3597388,5
CHEMBL3597390,12
CHEMBL3597391,10
CHEMBL3597392,8
CHEMBL3597395,8
CHEMBL3597397,8
CHEMBL3597400,5
CHEMBL3597401,12
CHEMBL3597402,8
CHEMBL3597403,9
CHEMBL3597404,9
CHEMBL3597405,7
CHEMBL3597406,8
CHEMBL3597408,7
CHEMBL3597411,4
CHEMBL3597412,6
CHEMBL3597413,5
CHEMBL3597414,4
CHEMBL3597415,7
CHEMBL3597416,3
CHEMBL3597419,12
CHEMBL3597420,8
CHEMBL3597424,10
CHEMBL3597426,4
CHEMBL3597427,8
CHEMBL3597428,11
CHEMBL3597431,7
CHEMBL3597432,12
CHEMBL3597433,16
CHEMBL3597434,11
CHEMBL3597435,15
CHEMBL360420,0
CHEMBL361351,0
CHEMBL361617,1
CHEMBL361773,10
CHEMBL363805,0
CHEMBL364254,6
CHEMBL366157,0
CHEMBL367360,2
CHEMBL3695775,13
CHEMBL3695816,15
CHEMBL369890,0
CHEMBL370054,14
CHEMBL370152,11
CHEMBL370374,5
CHEMBL3707395,2
CHEMBL373318,6
CHEMBL373874,15
CHEMBL374323,18
CHEMBL374448,17
CHEMBL3751930,6
CHEMBL3752362,1
CHEMBL3752643,3
CHEMBL3753640,0
CHEMBL3753786,4
CHEMBL3753819,0
CHEMBL3753947,3
CHEMBL3754569,0
CHEMBL376325,14
CHEMBL3763373,10
CHEMBL3763491,0
CHEMBL3763887,10
CHEMBL3764076,3
CHEMBL3764102,1
CHEMBL3764209,4
CHEMBL3764216,7
CHEMBL3764398,13
CHEMBL3764424,10
CHEMBL3764450,15
CHEMBL3764792,6
CHEMBL3764848,14
CHEMBL3764891,2
CHEMBL3764948,9
CHEMBL3765141,5
CHEMBL3765679,2
CHEMBL3765690,13
CHEMBL3765763,5
CHEMBL379439,1
CHEMBL38508,19
CHEMBL386957,15
CHEMBL3905419,14
CHEMBL3907308,0
CHEMBL3914401,17
CHEMBL3916286,5
CHEMBL393005,16
CHEMBL393381,4
CHEMBL3934455,14
CHEMBL394031,11
CHEMBL3947936,19
CHEMBL394968,9
CHEMBL395191,5
CHEMBL396109,19
CHEMBL3962742,12
CHEMBL397120,11
CHEMBL3985281,15
CHEMBL3986047,2
CHEMBL398804,10
CHEMBL401015,15
CHEMBL4059763,19
CHEMBL4060007,17
CHEMBL4062472,1
CHEMBL4062724,15
CHEMBL4063529,3
CHEMBL4064900,2
CHEMBL4066332,8
CHEMBL4068424,7
CHEMBL4069460,11
CHEMBL4069463,9
CHEMBL4071373,1
CHEMBL4072125,2
CHEMBL4072143,7
CHEMBL4072395,11
CHEMBL4073499,7
CHEMBL4074391,14
CHEMBL4074565,6
CHEMBL4075090,9
CHEMBL4075210,5
CHEMBL4075456,19
CHEMBL4078107,15
CHEMBL4084839,7
CHEMBL4087052,14
CHEMBL4088048,17
CHEMBL4089775,0
CHEMBL4090489,20
CHEMBL4090691,7
CHEMBL4091374,16
CHEMBL4091398,18
CHEMBL4092600,2
CHEMBL4093864,13
CHEMBL4095031,4
CHEMBL4095614,7
CHEMBL4095821,10
CHEMBL4096160,13
CHEMBL4096447,14
CHEMBL4098202,11
CHEMBL4098415,17
CHEMBL4100336,3
CHEMBL4101596,16
CHEMBL4101759,12
CHEMBL4102794,5
CHEMBL4103575,1
CHEMBL414836,14
CHEMBL4159798,15
CHEMBL4159869,9
CHEMBL4160416,17
CHEMBL4160661,16
CHEMBL4160945,19
CHEMBL4162949,16
CHEMBL4163066,1
CHEMBL4163237,6
CHEMBL4163242,9
CHEMBL4164343,11
CHEMBL4164442,11
CHEMBL4164828,5
CHEMBL4165766,10
CHEMBL4167504,18
CHEMBL4167706,7
CHEMBL4167709,13
CHEMBL4167731,9
CHEMBL4167789,11
CHEMBL4168900,17
CHEMBL4169557,14
CHEMBL4169731,4
CHEMBL4170881,12
CHEMBL4171153,14
CHEMBL4174598,10
CHEMBL4174996,16
CHEMBL4175074,1
CHEMBL4175728,4
CHEMBL4176819,17
CHEMBL4176938,14
CHEMBL4176941,7
CHEMBL420973,5
CHEMBL421729,3
CHEMBL4242324,15
CHEMBL4243327,17
CHEMBL4247103,15
CHEMBL425639,15
CHEMBL426550,11
CHEMBL426632,2
CHEMBL426878,7
CHEMBL4277723,15
CHEMBL4277928,5
CHEMBL4278109,12
CHEMBL4279086,18
CHEMBL428019,17
CHEMBL4281564,12
CHEMBL4282451,1
CHEMBL4282648,8
CHEMBL4285849,9
CHEMBL4286027,12
CHEMBL4286347,20
CHEMBL4288363,15
CHEMBL4288463,4
CHEMBL4288574,12
CHEMBL4289449,11
CHEMBL4289768,18
CHEMBL4289861,2
CHEMBL4290919,19
CHEMBL4293061,15
CHEMBL4293242,18
CHEMBL4294239,19
CHEMBL429823,7
CHEMBL431348,15
CHEMBL435517,7
CHEMBL4434731,10
CHEMBL4435043,11
CHEMBL4436626,15
CHEMBL4438226,0
CHEMBL443910,0
CHEMBL4439373,6
CHEMBL4439891,0
CHEMBL4443192,9
CHEMBL4443400,3
CHEMBL4443588,11
CHEMBL4444322,1
CHEMBL4444888,8
CHEMBL4445012,6
CHEMBL4445084,13
CHEMBL4445737,0
CHEMBL4446679,14
CHEMBL4449283,9
CHEMBL4449414,15
CHEMBL4449760,0
CHEMBL4453610,0
CHEMBL4456647,10
CHEMBL4458208,2
CHEMBL445921,5
CHEMBL4459701,3
CHEMBL4460166,16
CHEMBL4461490,2
CHEMBL4461949,2
CHEMBL4463464,13
CHEMBL4463602,12
CHEMBL4464538,2
CHEMBL4464717,6
CHEMBL4465311,4
CHEMBL4465521,9
CHEMBL4466552,11
CHEMBL446893,7
CHEMBL4469716,1
CHEMBL4469751,8
CHEMBL4470753,14
CHEMBL4471255,9
CHEMBL4471853,0
CHEMBL4472191,8
CHEMBL4474407,12
CHEMBL4474657,7
CHEMBL4483378,3
CHEMBL451321,7
CHEMBL4514313,3
CHEMBL4517866,16
CHEMBL4519376,10
CHEMBL452051,2
CHEMBL452054,0
CHEMBL4520827,1
CHEMBL4521388,7
CHEMBL452299,17
CHEMBL4527674,17
CHEMBL4531918,8
CHEMBL4533202,2
CHEMBL4533822,1
CHEMBL4536821,3
CHEMBL4537335,9
CHEMBL4538895,6
CHEMBL4546069,9
CHEMBL4546437,10
CHEMBL4546798,6
CHEMBL454691,0
CHEMBL455126,8
CHEMBL455127,9
CHEMBL455130,0
CHEMBL4551334,16
CHEMBL4552317,12
CHEMBL4555317,16
CHEMBL4555407,9
CHEMBL4556396,2
CHEMBL4557173,3
CHEMBL4558284,11
CHEMBL455853,1
CHEMBL4560767,18
CHEMBL4566395,10
CHEMBL4568299,11
CHEMBL4571498,10
CHEMBL4575123,0
CHEMBL4576586,12
CHEMBL4580572,0
CHEMBL458221,0
CHEMBL4586093,0
CHEMBL458648,1
CHEMBL4586557,12
CHEMBL4587577,12
CHEMBL4587597,12
CHEMBL458866,0
CHEMBL458867,0
CHEMBL4588919,20
CHEMBL4589453,9
CHEMBL4591010,15
CHEMBL4591405,7
CHEMBL4591564,0
CHEMBL4592451,0
CHEMBL4592882,14
CHEMBL4592935,14
CHEMBL4593237,16
CHEMBL4593987,20
CHEMBL459466,2
CHEMBL459521,1
CHEMBL460072,8
CHEMBL460073,3
CHEMBL461378,0
CHEMBL461379,0
CHEMBL461944,0
CHEMBL462378,4
CHEMBL470144,3
CHEMBL470145,11
CHEMBL471851,17
CHEMBL472244,8
CHEMBL472245,4
CHEMBL472246,5
CHEMBL473953,19
CHEMBL4740243,10
CHEMBL474148,7
CHEMBL4742137,5
CHEMBL4743099,3
CHEMBL4745121,2
CHEMBL4745294,1
CHEMBL474550,14
CHEMBL474551,12
CHEMBL4745787,16
CHEMBL4746369,2
CHEMBL4749151,2
CHEMBL4749400,1
CHEMBL4749785,11
CHEMBL4751747,4
CHEMBL4752692,10
CHEMBL4755265,16
CHEMBL4756972,2
CHEMBL4757935,7
CHEMBL4758029,2
CHEMBL4759515,10
CHEMBL4759931,13
CHEMBL4761285,7
CHEMBL4762110,15
CHEMBL4762401,3
CHEMBL4762983,15
CHEMBL4763760,0
CHEMBL4764095,9
CHEMBL477095,12
CHEMBL4776412,7
CHEMBL4783659,2
CHEMBL4784296,5
CHEMBL4784654,15
CHEMBL4787702,15
CHEMBL4789439,2
CHEMBL479207,10
CHEMBL4792723,6
CHEMBL480298,3
CHEMBL482659,14
CHEMBL482823,2
CHEMBL482824,7
CHEMBL482827,10
CHEMBL482857,9
CHEMBL483032,7
CHEMBL483035,10
CHEMBL484063,9
CHEMBL484263,10
CHEMBL484264,4
CHEMBL48435,15
CHEMBL484462,7
CHEMBL4847196,12
CHEMBL4847662,0
CHEMBL4848717,20
CHEMBL4850966,1
CHEMBL4852222,0
CHEMBL4852368,17
CHEMBL4852747,2
CHEMBL4852865,0
CHEMBL485291,16
CHEMBL4854804,2
CHEMBL4855306,1
CHEMBL4857550,0
CHEMBL4858086,0
CHEMBL4858856,2
CHEMBL4858879,20
CHEMBL4859407,1
CHEMBL4859651,7
CHEMBL4859884,4
CHEMBL4860127,13
CHEMBL4860595,1
CHEMBL486205,12
CHEMBL4863289,17
CHEMBL4863378,15
CHEMBL486350,17
CHEMBL486365,3
CHEMBL4865460,2
CHEMBL4865961,1
CHEMBL4866406,0
CHEMBL4866568,0
CHEMBL4866667,20
CHEMBL4867586,9
CHEMBL486764,4
CHEMBL4868676,2
CHEMBL4869429,16
CHEMBL4869870,3
CHEMBL4870332,2
CHEMBL4872298,2
CHEMBL4874383,8
CHEMBL4876536,5
CHEMBL4877893,4
CHEMBL488991,6
CHEMBL489074,6
CHEMBL489075,12
CHEMBL489506,20
CHEMBL489507,19
CHEMBL489559,11
CHEMBL489651,6
CHEMBL489765,11
CHEMBL489766,3
CHEMBL490029,16
CHEMBL490220,6
CHEMBL490425,8
CHEMBL490426,9
CHEMBL490832,11
CHEMBL491627,10
CHEMBL491751,13
CHEMBL491820,5
CHEMBL491950,3
CHEMBL492047,1
CHEMBL495990,15
CHEMBL496807,9
CHEMBL497203,7
CHEMBL497204,4
CHEMBL499038,0
CHEMBL501335,10
CHEMBL501439,12
CHEMBL501440,16
